,FRT,CMG
2013-06-27,100.459999,364.950012
2013-06-26,99.339996,364.0
2013-06-25,97.290001,361.059998
2013-06-24,96.160004,357.720001
2013-06-21,96.82,363.26001
2013-06-20,99.510002,363.619995
2013-06-19,103.779999,371.790009
2013-06-18,105.239998,369.019989
2013-06-17,106.489998,370.5
2013-06-14,105.699997,369.440002
2013-06-13,103.18,369.5
2013-06-12,105.870003,368.609985
2013-06-11,104.940002,361.459991
2013-06-10,107.480003,366.450012
2013-06-07,107.779999,361.0
2013-06-06,105.879997,354.420013
2013-06-05,106.93,358.640015
2013-06-04,108.480003,356.049988
2013-06-03,107.889999,361.01001
2013-05-31,109.07,366.209991
2013-05-30,110.459999,370.929993
2013-05-29,111.57,368.98999
2013-05-28,114.059998,371.579987
2013-05-24,111.389999,366.640015
2013-05-23,112.349998,367.529999
2013-05-22,117.410004,377.329987
2013-05-21,117.080002,376.51001
2013-05-20,116.599998,374.799988
2013-05-17,117.010002,371.920013
2013-05-16,118.059998,374.929993
2013-05-15,116.800003,375.269989
2013-05-14,116.900002,368.0
2013-05-13,116.419998,369.880005
2013-05-10,116.150002,366.929993
2013-05-09,116.940002,363.950012
2013-05-08,116.629997,361.809998
2013-05-07,117.239998,372.570007
2013-05-06,117.25,367.450012
2013-05-03,118.110001,368.25
2013-05-02,115.940002,361.679993
2013-05-01,116.220001,360.950012
2013-04-30,115.25,365.48999
2013-04-29,114.709999,362.179993
2013-04-26,114.459999,362.01001
2013-04-25,114.07,363.299988
2013-04-24,113.980003,358.709991
2013-04-23,113.849998,363.630005
2013-04-22,113.540001,367.0
2013-04-19,111.18,344.910004
2013-04-18,110.989998,341.5
2013-04-17,111.099998,339.589996
2013-04-16,111.730003,341.029999
2013-04-15,113.120003,349.0
2013-04-12,112.699997,329.769989
2013-04-11,112.610001,340.0
2013-04-10,112.150002,334.179993
2013-04-09,112.029999,337.179993
2013-04-08,110.519997,327.01001
2013-04-05,109.190002,318.109985
2013-04-04,108.559998,323.630005
2013-04-03,108.839996,327.049988
2013-04-02,108.550003,321.910004
2013-04-01,108.099998,327.420013
